Latitude,Longitude,district
24.26518,72.92394,Jamnagar
24.26518,73.00357,Kutch
24.26518,73.08319,Ahmedabad
24.26518,73.16282,Gandhinagar
24.26518,73.24244,Surat
24.18458,71.25181,Narmada
24.18458,71.33144,Amreli
24.18458,71.41106,Anand
24.18458,71.49069,Kutch
24.18458,71.57031,Mahesana
24.18458,71.64994,Banaskantha
24.18458,71.72956,Kutch
24.18458,71.80919,Rajkot
24.18458,71.88882,Patan
24.18458,71.96844,Bhavnagar
24.18458,72.04807,Kutch
24.18458,72.12769,Amreli
24.18458,72.20732,Amreli
24.18458,72.28694,Amreli
24.18458,72.36657,Devbhumi
24.18458,72.44619,Surat
24.18458,72.52582,Jamnagar
24.18458,72.60544,Kutch
24.18458,72.68507,Aravalli
24.18458,72.76469,Morbi
24.18458,72.84432,Mahesana
24.18458,72.92394,Kutch
24.18458,73.00357,Jamnagar
24.18458,73.08319,Banaskantha
24.18458,73.16282,Valsad
24.10398,71.25181,Ahmedabad
24.10398,71.33144,Unknown
24.10398,71.41106,Panchmahal
24.10398,71.49069,Jamnagar
24.10398,71.57031,Porbandar
24.10398,71.64994,Surendranagar
24.10398,71.72956,Jamnagar
24.10398,71.80919,Morbi
24.10398,71.88882,Patan
24.10398,71.96844,Bharuch
24.10398,72.04807,Surendranagar
24.10398,72.12769,Rajkot
24.10398,72.20732,Morbi
24.10398,72.28694,Kutch
24.10398,72.36657,Mahesana
24.10398,72.44619,Surendranagar
24.10398,72.52582,Rajkot
24.10398,72.60544,Kheda
24.10398,72.68507,Rajkot
24.10398,72.76469,Mahesana
24.10398,72.84432,Dungarpur
24.10398,72.92394,Gir
24.10398,73.00357,Kheda
24.10398,73.08319,Aravalli
24.10398,73.16282,Bharuch
24.10398,73.24244,Tapi
24.02338,71.25181,Amreli
24.02338,71.33144,Surendranagar
24.02338,71.41106,Surendranagar
24.02338,71.49069,Kutch
24.02338,71.57031,Jamnagar
24.02338,71.64994,Rajkot
24.02338,71.72956,Unknown
24.02338,71.80919,Chhota
24.02338,71.88882,Surendranagar
24.02338,71.96844,Anand
24.02338,72.04807,Kutch
24.02338,72.12769,Bharuch
24.02338,72.20732,Morbi
24.02338,72.28694,Aravalli
24.02338,72.36657,Surendranagar
24.02338,72.44619,Surat
24.02338,72.52582,Bharuch
24.02338,72.60544,Mahisagar
24.02338,72.68507,Morbi
24.02338,72.76469,Kutch
24.02338,72.84432,Gir
24.02338,72.92394,Panchmahal
24.02338,73.00357,Bhavnagar
24.02338,73.08319,Amreli
24.02338,73.16282,Bhavnagar
24.02338,73.24244,Kutch
24.02338,73.32207,Anand
24.02338,73.40169,Gir
23.94278,70.13706,Gandhinagar
23.94278,70.21669,Sabarkantha
23.94278,70.37594,Kutch
23.94278,70.45556,Navsari
23.94278,70.53519,Ahmedabad
23.94278,70.61481,Kutch
23.94278,70.69444,Banaskantha
23.94278,70.77406,Rajkot
23.94278,70.85369,Mahesana
23.94278,71.01294,Bhavnagar
23.94278,71.09256,Vadodara
23.94278,71.25181,Banaskantha
23.94278,71.33144,Aravalli
23.94278,71.41106,Ahmedabad
23.94278,71.49069,Kutch
23.94278,71.57031,Vadodara
23.94278,71.64994,Gir
23.94278,71.72956,Dadra
23.94278,71.80919,Dungarpur
23.94278,71.88882,Botad
23.94278,71.96844,Bharuch
23.94278,72.04807,Dahod
23.94278,72.12769,Morbi
23.94278,72.20732,Chhota
23.94278,72.28694,Surendranagar
23.94278,72.36657,Ahmedabad
23.94278,72.44619,Jamnagar
23.94278,72.52582,Kutch
23.94278,72.60544,Morbi
23.94278,72.68507,Banaskantha
23.94278,72.76469,Surendranagar
23.94278,72.84432,Junagadh
23.94278,72.92394,Mahesana
23.94278,73.00357,Unknown
23.94278,73.08319,Kutch
23.94278,73.16282,Kutch
23.94278,73.24244,Panchmahal
23.94278,73.32207,Junagadh
23.94278,73.40169,Anand
23.86218,70.13706,Ahmedabad
23.86218,70.21669,Rajkot
23.86218,70.29631,Dang
23.86218,70.37594,Ahmedabad
23.86218,70.45556,Rajkot
23.86218,70.53519,Valsad
23.86218,70.61481,Kutch
23.86218,70.69444,Surat
23.86218,70.77406,Ahmedabad
23.86218,70.85369,Kheda
23.86218,71.01294,Surendranagar
23.86218,71.09256,Gir
23.86218,71.17219,Jamnagar
23.86218,71.25181,Devbhumi
23.86218,71.33144,Vadodara
23.86218,71.41106,Jamnagar
23.86218,71.49069,Kutch
23.86218,71.57031,Tapi
23.86218,71.64994,Mahesana
23.86218,71.72956,Anand
23.86218,71.80919,Surendranagar
23.86218,71.88882,Kutch
23.86218,71.96844,Bhavnagar
23.86218,72.04807,Mahisagar
23.86218,72.12769,Junagadh
23.86218,72.20732,Kutch
23.86218,72.28694,Jamnagar
23.86218,72.36657,Kutch
23.86218,72.44619,Kheda
23.86218,72.52582,Kutch
23.86218,72.60544,Devbhumi
23.86218,72.68507,Kutch
23.86218,72.76469,Amreli
23.86218,72.84432,Kheda
23.86218,72.92394,Chhota
23.86218,73.00357,Bharuch
23.86218,73.08319,Sabarkantha
23.86218,73.16282,Kutch
23.86218,73.24244,Nandurbar
23.86218,73.32207,Ahmedabad
23.86218,73.40169,Devbhumi
23.78158,70.13706,Kutch
23.78158,70.21669,Jamnagar
23.78158,70.29631,Rajkot
23.78158,70.37594,Unknown
23.78158,70.45556,Junagadh
23.78158,70.53519,Porbandar
23.78158,70.61481,Nandurbar
23.78158,70.69444,Kutch
23.78158,70.77406,Ahmedabad
23.78158,70.85369,Jamnagar
23.78158,71.09256,Rajkot
23.78158,71.17219,Bhavnagar
23.78158,71.25181,Morbi
23.78158,71.33144,Kutch
23.78158,71.41106,Amreli
23.78158,71.49069,Morbi
23.78158,71.57031,Kutch
23.78158,71.64994,Surendranagar
23.78158,71.72956,Amreli
23.78158,71.80919,Dahod
23.78158,71.88882,Banaskantha
23.78158,71.96844,Narmada
23.78158,72.04807,Kutch
23.78158,72.12769,Surat
23.78158,72.20732,Bhavnagar
23.78158,72.28694,Kutch
23.78158,72.36657,Junagadh
23.78158,72.44619,Dang
23.78158,72.52582,Valsad
23.78158,72.60544,Bharuch
23.78158,72.68507,Tapi
23.78158,72.76469,Panchmahal
23.78158,72.84432,Bharuch
23.78158,72.92394,Amreli
23.78158,73.00357,Surendranagar
23.78158,73.08319,Rajkot
23.78158,73.16282,Amreli
23.78158,73.24244,Udaipur
23.78158,73.32207,Junagadh
23.78158,73.40169,Tapi
23.78158,73.48132,Patan
23.70098,68.70381,Jamnagar
23.70098,68.78344,Dang
23.70098,69.10194,Devbhumi
23.70098,69.18156,Surat
23.70098,70.45556,Bhavnagar
23.70098,70.53519,Patan
23.70098,70.61481,Sabarkantha
23.70098,70.69444,Junagadh
23.70098,70.77406,Bhavnagar
23.70098,70.85369,Amreli
23.70098,70.93331,Banaskantha
23.70098,71.09256,Mahesana
23.70098,71.17219,Unknown
23.70098,71.25181,Devbhumi
23.70098,71.33144,Mahisagar
23.70098,71.41106,Bharuch
23.70098,71.49069,Kutch
23.70098,71.57031,Ahmedabad
23.70098,71.64994,Banaskantha
23.70098,71.72956,Kutch
23.70098,71.80919,Chhota
23.70098,71.88882,Botad
23.70098,71.96844,Kheda
23.70098,72.04807,Bharuch
23.70098,72.12769,Bhavnagar
23.70098,72.20732,Sabarkantha
23.70098,72.28694,Botad
23.70098,72.36657,Bhavnagar
23.70098,72.44619,Devbhumi
23.70098,72.52582,Anand
23.70098,72.60544,Morbi
23.70098,72.68507,Panchmahal
23.70098,72.76469,Panchmahal
23.70098,72.84432,Bhavnagar
23.70098,72.92394,Valsad
23.70098,73.00357,Porbandar
23.70098,73.08319,Surendranagar
23.70098,73.16282,Morbi
23.70098,73.24244,Kutch
23.70098,73.32207,Sabarkantha
23.70098,73.40169,Kutch
23.70098,73.48132,Mahisagar
23.70098,73.56094,Banaskantha
23.62038,68.70381,Morbi
23.62038,68.78344,Vadodara
23.62038,68.94269,Bharuch
23.62038,69.02231,Unknown
23.62038,69.10194,Morbi
23.62038,69.18156,Surendranagar
23.62038,70.29631,Ahmedabad
23.62038,70.37594,Jamnagar
23.62038,70.45556,Banaskantha
23.62038,70.53519,Botad
23.62038,70.61481,Junagadh
23.62038,70.69444,Kutch
23.62038,70.77406,Surat
23.62038,70.85369,Bharuch
23.62038,70.93331,Mahesana
23.62038,71.41106,Banaskantha
23.62038,71.49069,Patan
23.62038,71.57031,Rajkot
23.62038,71.64994,Nandurbar
23.62038,71.72956,Junagadh
23.62038,71.80919,Morbi
23.62038,71.88882,Ahmedabad
23.62038,71.96844,Gir
23.62038,72.04807,Vadodara
23.62038,72.12769,Patan
23.62038,72.20732,Ahmedabad
23.62038,72.28694,Botad
23.62038,72.36657,Kutch
23.62038,72.44619,Bhavnagar
23.62038,72.52582,Botad
23.62038,72.60544,Valsad
23.62038,72.68507,Kutch
23.62038,72.76469,Gir
23.62038,72.84432,Kutch
23.62038,72.92394,Vadodara
23.62038,73.00357,Kutch
23.62038,73.08319,Surendranagar
23.62038,73.16282,Banaskantha
23.62038,73.24244,Unknown
23.62038,73.32207,Surat
23.62038,73.40169,Bhavnagar
23.62038,73.48132,Nandurbar
23.62038,73.56094,Gandhinagar
23.62038,73.64057,Kutch
23.53978,68.94269,Junagadh
23.53978,69.02231,Narmada
23.53978,69.10194,Amreli
23.53978,69.18156,Navsari
23.53978,69.34081,Gir
23.53978,69.42044,Kutch
23.53978,69.50006,Banaskantha
23.53978,69.57969,Jamnagar
23.53978,69.65931,Banaskantha
23.53978,69.73894,Rajkot
23.53978,69.81856,Bhavnagar
23.53978,70.21669,Ahmedabad
23.53978,70.29631,Jamnagar
23.53978,70.37594,Patan
23.53978,70.45556,Unknown
23.53978,70.53519,Patan
23.53978,70.61481,Banaskantha
23.53978,70.69444,Udaipur
23.53978,70.77406,Sabarkantha
23.53978,70.85369,Dang
23.53978,70.93331,Ahmedabad
23.53978,71.01294,Aravalli
23.53978,71.41106,Chhota
23.53978,71.49069,Sabarkantha
23.53978,71.57031,Udaipur
23.53978,71.64994,Gir
23.53978,71.72956,Rajkot
23.53978,71.80919,Kutch
23.53978,71.88882,Patan
23.53978,71.96844,Panchmahal
23.53978,72.04807,Bhavnagar
23.53978,72.12769,Banaskantha
23.53978,72.20732,Kutch
23.53978,72.28694,Kheda
23.53978,72.36657,Mahesana
23.53978,72.44619,Junagadh
23.53978,72.52582,Dahod
23.53978,72.60544,Banaskantha
23.53978,72.68507,Sabarkantha
23.53978,72.76469,Mahisagar
23.53978,72.84432,Surendranagar
23.53978,72.92394,Mahesana
23.53978,73.00357,Devbhumi
23.53978,73.08319,Surendranagar
23.53978,73.16282,Porbandar
23.53978,73.24244,Banaskantha
23.53978,73.32207,Jamnagar
23.53978,73.40169,Surendranagar
23.53978,73.48132,Kutch
23.53978,73.56094,Kutch
23.53978,73.64057,Rajkot
23.45918,68.62419,Surat
23.45918,68.70381,Patan
23.45918,68.94269,Vadodara
23.45918,69.02231,Surat
23.45918,69.10194,Rajkot
23.45918,69.18156,Bhavnagar
23.45918,69.34081,Tapi
23.45918,69.42044,Kutch
23.45918,69.50006,Kutch
23.45918,69.57969,Anand
23.45918,69.65931,Dahod
23.45918,69.73894,Gandhinagar
23.45918,69.81856,Surendranagar
23.45918,69.89819,Kutch
23.45918,69.97781,Banaskantha
23.45918,70.13706,Rajkot
23.45918,70.21669,Chhota
23.45918,70.29631,Kheda
23.45918,70.37594,Sirohi
23.45918,70.45556,Dang
23.45918,70.53519,Patan
23.45918,70.61481,Banaskantha
23.45918,70.69444,Vadodara
23.45918,70.77406,Dahod
23.45918,70.85369,Devbhumi
23.45918,70.93331,Udaipur
23.45918,71.01294,Sabarkantha
23.45918,71.49069,Banaskantha
23.45918,71.57031,Patan
23.45918,71.64994,Ahmedabad
23.45918,71.72956,Dahod
23.45918,71.80919,Kheda
23.45918,71.88882,Vadodara
23.45918,71.96844,Bharuch
23.45918,72.04807,Botad
23.45918,72.12769,Morbi
23.45918,72.20732,Gir
23.45918,72.28694,Kutch
23.45918,72.36657,Kutch
23.45918,72.44619,Banaskantha
23.45918,72.52582,Banaskantha
23.45918,72.60544,Sabarkantha
23.45918,72.68507,Bhavnagar
23.45918,72.76469,Kheda
23.45918,72.84432,Surendranagar
23.45918,72.92394,Rajkot
23.45918,73.00357,Vadodara
23.45918,73.08319,Botad
23.45918,73.16282,Narmada
23.45918,73.24244,Surat
23.45918,73.32207,Rajkot
23.45918,73.40169,Dahod
23.45918,73.48132,Bhavnagar
23.45918,73.56094,Vadodara
23.45918,73.64057,Jamnagar
23.45918,73.72019,Jamnagar
23.45918,73.79982,Sabarkantha
23.45918,73.87944,Gir
23.37858,68.62419,Chhota
23.37858,68.70381,Surat
23.37858,68.78344,Tapi
23.37858,68.86306,Sabarkantha
23.37858,68.94269,Ahmedabad
23.37858,69.02231,Botad
23.37858,69.10194,Morbi
23.37858,69.18156,Surendranagar
23.37858,69.26119,Sirohi
23.37858,69.34081,Unknown
23.37858,69.42044,Rajkot
23.37858,69.50006,Ahmedabad
23.37858,69.57969,Surendranagar
23.37858,69.65931,Tapi
23.37858,69.73894,Amreli
23.37858,69.81856,Devbhumi
23.37858,69.89819,Bharuch
23.37858,69.97781,Junagadh
23.37858,70.05744,Patan
23.37858,70.13706,Tapi
23.37858,70.21669,Bhavnagar
23.37858,70.29631,Gir
23.37858,70.37594,Kutch
23.37858,70.45556,Patan
23.37858,70.53519,Junagadh
23.37858,70.61481,Patan
23.37858,70.69444,Kutch
23.37858,70.77406,Kutch
23.37858,70.85369,Dang
23.37858,70.93331,Surendranagar
23.37858,71.57031,Palghar
23.37858,71.64994,Valsad
23.37858,71.72956,Mahesana
23.37858,71.80919,Porbandar
23.37858,71.88882,Sabarkantha
23.37858,71.96844,Junagadh
23.37858,72.04807,Narmada
23.37858,72.12769,Surat
23.37858,72.20732,Kutch
23.37858,72.28694,Botad
23.37858,72.36657,Kutch
23.37858,72.44619,Banaskantha
23.37858,72.52582,Kutch
23.37858,72.60544,Rajkot
23.37858,72.68507,Kutch
23.37858,72.76469,Bhavnagar
23.37858,72.84432,Amreli
23.37858,72.92394,Porbandar
23.37858,73.00357,Kutch
23.37858,73.08319,Surendranagar
23.37858,73.16282,Dahod
23.37858,73.24244,Bhavnagar
23.37858,73.32207,Amreli
23.37858,73.40169,Ahmedabad
23.37858,73.48132,Banaskantha
23.37858,73.56094,Banaskantha
23.37858,73.64057,Devbhumi
23.37858,73.72019,Unknown
23.37858,73.79982,Morbi
23.37858,73.87944,Rajkot
23.37858,73.95907,Junagadh
23.29797,68.70381,Patan
23.29797,68.78344,Surendranagar
23.29797,68.86306,Kutch
23.29797,68.94269,Banaskantha
23.29797,69.02231,Valsad
23.29797,69.10194,Nandurbar
23.29797,69.18156,Bharuch
23.29797,69.26119,Vadodara
23.29797,69.34081,Navsari
23.29797,69.42044,Banaskantha
23.29797,69.50006,Unknown
23.29797,69.57969,Aravalli
23.29797,69.65931,Bhavnagar
23.29797,69.73894,Porbandar
23.29797,69.81856,Kutch
23.29797,69.89819,Dahod
23.29797,69.97781,Valsad
23.29797,70.05744,Amreli
23.29797,70.13706,Jamnagar
23.29797,70.21669,Navsari
23.29797,70.29631,Patan
23.29797,70.37594,Banaskantha
23.29797,70.45556,Banaskantha
23.29797,70.53519,Ahmedabad
23.29797,70.61481,Amreli
23.29797,70.69444,Surendranagar
23.29797,70.77406,Ahmedabad
23.29797,70.85369,Rajkot
23.29797,70.93331,Kutch
23.29797,71.57031,Nandurbar
23.29797,71.64994,Banaskantha
23.29797,71.72956,Mahesana
23.29797,71.80919,Valsad
23.29797,71.88882,Aravalli
23.29797,71.96844,Rajkot
23.29797,72.04807,Kutch
23.29797,72.12769,Banaskantha
23.29797,72.20732,Diu
23.29797,72.28694,Panchmahal
23.29797,72.36657,Kheda
23.29797,72.44619,Banaskantha
23.29797,72.52582,Tapi
23.29797,72.60544,Patan
23.29797,72.68507,Kutch
23.29797,72.76469,Kutch
23.29797,72.84432,Kutch
23.29797,72.92394,Chhota
23.29797,73.00357,Nandurbar
23.29797,73.08319,Amreli
23.29797,73.16282,Chhota
23.29797,73.24244,Morbi
23.29797,73.32207,Junagadh
23.29797,73.40169,Kutch
23.29797,73.48132,Panchmahal
23.29797,73.56094,Kutch
23.29797,73.64057,Rajkot
23.29797,73.72019,Vadodara
23.29797,73.79982,Ahmedabad
23.29797,73.87944,Unknown
23.29797,73.95907,Junagadh
23.29797,74.03869,Mahisagar
23.29797,74.11832,Kutch
23.21737,68.70381,Kutch
23.21737,68.78344,Panchmahal
23.21737,68.86306,Valsad
23.21737,68.94269,Jhabua
23.21737,69.02231,Sabarkantha
23.21737,69.10194,Palghar
23.21737,69.18156,Dahod
23.21737,69.26119,Porbandar
23.21737,69.34081,Banaskantha
23.21737,69.42044,Kutch
23.21737,69.50006,Kutch
23.21737,69.57969,Panchmahal
23.21737,69.65931,Junagadh
23.21737,69.73894,Junagadh
23.21737,69.81856,Surat
23.21737,69.89819,Bhavnagar
23.21737,69.97781,Rajkot
23.21737,70.05744,Banaskantha
23.21737,70.13706,Amreli
23.21737,70.21669,Kheda
23.21737,70.29631,Narmada
23.21737,70.37594,Gir
23.21737,70.45556,Junagadh
23.21737,70.53519,Amreli
23.21737,70.61481,Sabarkantha
23.21737,70.69444,Porbandar
23.21737,70.77406,Devbhumi
23.21737,70.93331,Unknown
23.21737,71.01294,Kutch
23.21737,71.09256,Kutch
23.21737,71.17219,Kutch
23.21737,71.25181,Gir
23.21737,71.33144,Rajkot
23.21737,71.41106,Devbhumi
23.21737,71.64994,Rajkot
23.21737,71.72956,Bharuch
23.21737,71.80919,Dang
23.21737,71.88882,Surendranagar
23.21737,71.96844,Jamnagar
23.21737,72.04807,Rajkot
23.21737,72.12769,Kheda
23.21737,72.20732,Kutch
23.21737,72.28694,Devbhumi
23.21737,72.36657,Vadodara
23.21737,72.44619,Junagadh
23.21737,72.52582,Jamnagar
23.21737,72.60544,Banaskantha
23.21737,72.68507,Valsad
23.21737,72.76469,Panchmahal
23.21737,72.84432,Surat
23.21737,72.92394,Ahmedabad
23.21737,73.00357,Sabarkantha
23.21737,73.08319,Junagadh
23.21737,73.16282,Nashik
23.21737,73.24244,Vadodara
23.21737,73.32207,Ahmedabad
23.21737,73.40169,Jamnagar
23.21737,73.48132,Surendranagar
23.21737,73.56094,Gandhinagar
23.21737,73.64057,Navsari
23.21737,73.72019,Kutch
23.21737,73.79982,Tapi
23.21737,73.87944,Morbi
23.21737,73.95907,Chhota
23.21737,74.03869,Ahmedabad
23.21737,74.11832,Bharuch
23.21737,74.19794,Bhavnagar
23.21737,74.27757,Udaipur
23.13677,68.70381,Mahesana
23.13677,68.78344,Banaskantha
23.13677,68.86306,Aravalli
23.13677,68.94269,Bharuch
23.13677,69.02231,Gandhinagar
23.13677,69.10194,Dahod
23.13677,69.18156,Surat
23.13677,69.26119,Bhavnagar
23.13677,69.34081,Mahisagar
23.13677,69.42044,Devbhumi
23.13677,69.50006,Tapi
23.13677,69.57969,Bharuch
23.13677,69.65931,Narmada
23.13677,69.73894,Bharuch
23.13677,69.81856,Banaskantha
23.13677,69.89819,Kutch
23.13677,69.97781,Patan
23.13677,70.05744,Rajkot
23.13677,70.13706,Kutch
23.13677,70.21669,Dadra
23.13677,70.45556,Mahesana
23.13677,70.53519,Amreli
23.13677,70.61481,Unknown
23.13677,70.69444,Kutch
23.13677,70.77406,Kheda
23.13677,70.85369,Amreli
23.13677,70.93331,Sabarkantha
23.13677,71.01294,Bharuch
23.13677,71.09256,Bhavnagar
23.13677,71.17219,Mahisagar
23.13677,71.25181,Sabarkantha
23.13677,71.33144,Ahmedabad
23.13677,71.41106,Junagadh
23.13677,71.49069,Narmada
23.13677,71.57031,Devbhumi
23.13677,71.64994,Amreli
23.13677,71.72956,Surendranagar
23.13677,71.80919,Junagadh
23.13677,71.88882,Aravalli
23.13677,71.96844,Vadodara
23.13677,72.04807,Navsari
23.13677,72.12769,Porbandar
23.13677,72.20732,Kutch
23.13677,72.28694,Kutch
23.13677,72.36657,Gir
23.13677,72.44619,Devbhumi
23.13677,72.52582,Mahesana
23.13677,72.60544,Botad
23.13677,72.68507,Kheda
23.13677,72.76469,Patan
23.13677,72.84432,Surendranagar
23.13677,72.92394,Bhavnagar
23.13677,73.00357,Mahesana
23.13677,73.08319,Surendranagar
23.13677,73.16282,Bharuch
23.13677,73.24244,Anand
23.13677,73.32207,Valsad
23.13677,73.40169,Alirajpur
23.13677,73.48132,Amreli
23.13677,73.56094,Amreli
23.13677,73.64057,Tapi
23.13677,73.72019,Jamnagar
23.13677,73.79982,Surendranagar
23.13677,73.87944,Bhavnagar
23.13677,73.95907,Dahod
23.13677,74.03869,Jamnagar
23.13677,74.11832,Kutch
23.13677,74.19794,Jamnagar
23.13677,74.27757,Kutch
23.13677,74.35719,Sanchore
23.05617,68.78344,Sabarkantha
23.05617,68.86306,Kutch
23.05617,68.94269,Surendranagar
23.05617,69.02231,Aravalli
23.05617,69.10194,Kutch
23.05617,69.18156,Rajkot
23.05617,69.26119,Patan
23.05617,69.34081,Kutch
23.05617,69.42044,Bhavnagar
23.05617,69.50006,Botad
23.05617,69.57969,Chhota
23.05617,69.65931,Kheda
23.05617,69.73894,Ahmedabad
23.05617,69.81856,Panchmahal
23.05617,69.89819,Patan
23.05617,69.97781,Chhota
23.05617,70.05744,Morbi
23.05617,70.53519,Jamnagar
23.05617,70.61481,Botad
23.05617,70.69444,Ahmedabad
23.05617,70.77406,Bhavnagar
23.05617,70.85369,Botad
23.05617,70.93331,Mahisagar
23.05617,71.01294,Patan
23.05617,71.09256,Gandhinagar
23.05617,71.17219,Dang
23.05617,71.25181,Botad
23.05617,71.33144,Jamnagar
23.05617,71.41106,Dahod
23.05617,71.49069,Kutch
23.05617,71.57031,Devbhumi
23.05617,71.64994,Narmada
23.05617,71.72956,Bharuch
23.05617,71.80919,Sirohi
23.05617,71.88882,Narmada
23.05617,71.96844,Kutch
23.05617,72.04807,Narmada
23.05617,72.12769,Patan
23.05617,72.20732,Banaskantha
23.05617,72.28694,Dahod
23.05617,72.36657,Banaskantha
23.05617,72.44619,Kutch
23.05617,72.52582,Patan
23.05617,72.60544,Kheda
23.05617,72.68507,Vadodara
23.05617,72.76469,Tapi
23.05617,72.84432,Patan
23.05617,72.92394,Gir
23.05617,73.00357,Amreli
23.05617,73.08319,Surendranagar
23.05617,73.16282,Surendranagar
23.05617,73.24244,Ahmedabad
23.05617,73.32207,Banaskantha
23.05617,73.40169,Gandhinagar
23.05617,73.48132,Kutch
23.05617,73.56094,Porbandar
23.05617,73.64057,Botad
23.05617,73.72019,Jamnagar
23.05617,73.79982,Bhavnagar
23.05617,73.87944,Junagadh
23.05617,73.95907,Devbhumi
23.05617,74.03869,Kheda
23.05617,74.11832,Tapi
23.05617,74.19794,Dang
23.05617,74.27757,Narmada
23.05617,74.35719,Bharuch
22.97557,68.86306,Kutch
22.97557,68.94269,Devbhumi
22.97557,69.02231,Mahesana
22.97557,69.10194,Morbi
22.97557,69.18156,Kutch
22.97557,69.26119,Bhavnagar
22.97557,69.34081,Banaskantha
22.97557,69.42044,Bhavnagar
22.97557,69.50006,Morbi
22.97557,69.57969,Nandurbar
22.97557,69.65931,Bhavnagar
22.97557,69.73894,Vadodara
22.97557,69.81856,Bhavnagar
22.97557,69.89819,Anand
22.97557,69.97781,Chhota
22.97557,70.05744,Kutch
22.97557,70.53519,Navsari
22.97557,70.61481,Kutch
22.97557,70.69444,Porbandar
22.97557,70.77406,Porbandar
22.97557,70.85369,Unknown
22.97557,70.93331,Rajkot
22.97557,71.01294,Amreli
22.97557,71.09256,Morbi
22.97557,71.17219,Sabarkantha
22.97557,71.25181,Mahisagar
22.97557,71.33144,Morbi
22.97557,71.41106,Dang
22.97557,71.49069,Dahod
22.97557,71.57031,Surendranagar
22.97557,71.64994,Panchmahal
22.97557,71.72956,Narmada
22.97557,71.80919,Banaskantha
22.97557,71.88882,Bharuch
22.97557,71.96844,Banaskantha
22.97557,72.04807,Navsari
22.97557,72.12769,Vadodara
22.97557,72.20732,Patan
22.97557,72.28694,Surendranagar
